F1 	 F2_gene
MZ22527112	MZ22519745
MZ22529564	MZ22514162
MZ22524973	MZ22512210
MZ22524973	MZ22527142
MZ22529894	MZ22505483
MZ22529894	MZ22513141
MZ22521577	MZ22521561
MZ22520520	MZ22501481
MZ22528917	MZ22518353
MZ22528917	MZ22506696
MZ22520313	MZ22506696
MZ22525199	MZ22512829
MZ22522068	MZ22502274
MZ22530522	MZ22528442
MZ22526137	MZ22510827
MZ22530437	MZ22501246
MZ22530437	MZ22500806
MZ22531039	MZ22511723
MZ22531039	MZ22504876
MZ22507770	MZ22503151
MZ22527418	MZ22505624
MZ22530308	MZ22527073
MZ22530308	MZ22512569
MZ22516759	MZ22503585
MZ22528506	MZ22504980
MZ22528506	MZ22513947
MZ22515426	MZ22525192
MZ22526287	MZ22505797
MZ22526287	MZ22503188
MZ22504077	MZ22505361
MZ22512261	MZ22506740
MZ22529755	MZ22512321
MZ22530878	MZ22516276
MZ22527622	MZ22522065
MZ22527622	MZ22512183
MZ22520745	MZ22505382
MZ22520745	MZ22511648
MZ22525063	MZ22507035
MZ22528873	MZ22501823
MZ22523139	MZ22513151
MZ22525183	MZ22521158
MZ22527842	MZ22515000
MZ22527842	MZ22527259
MZ22525485	MZ22524897
MZ22525485	MZ22506200
MZ22520502	MZ22504521
MZ22530425	MZ22509940
MZ22530425	MZ22504584
MZ22527057	MZ22520559
MZ22526165	MZ22507742
MZ22525173	MZ22506505
MZ22518994	MZ22506359
MZ22515956	MZ22517116
MZ22521121	MZ22507817
MZ22521121	MZ22516319
MZ22530281	MZ22521012
MZ22530281	MZ22515333
MZ22526808	MZ22514097
MZ22509943	MZ22506244
MZ22509943	MZ22509161
MZ22511185	MZ22516366
MZ22511185	MZ22502944
MZ22516279	MZ22511637
MZ22516279	MZ22514787
MZ22529738	MZ22510047
MZ22529738	MZ22523474
MZ22529367	MZ22508571
MZ22529367	MZ22523079
MZ22525417	MZ22523079
MZ22525417	MZ22515054
MZ22503256	MZ22510900
MZ22527814	MZ22502957
MZ22527814	MZ22507947
MZ22524970	MZ22507947
MZ22527022	MZ22521486
MZ22527022	MZ22502157
MZ22525873	MZ22509497
MZ22525873	MZ22514835
MZ22511039	MZ22523942
MZ22511039	MZ22503103
MZ22526945	MZ22519234
MZ22530910	MZ22526945
MZ22530910	MZ22501964
MZ22516496	MZ22509609
MZ22523452	MZ22505353
MZ22525394	MZ22515185
MZ22527831	MZ22519333
MZ22527368	MZ22527831
MZ22527368	MZ22505716
MZ22522684	MZ22503106
MZ22526472	MZ22514220
MZ22526472	MZ22503789
MZ22530514	MZ22512432
MZ22515205	MZ22516151
MZ22515205	MZ22501852
MZ22527670	MZ22505588
MZ22527670	MZ22511529
MZ22511024	MZ22513603
MZ22527504	MZ22516371
MZ22521306	MZ22504972
MZ22521306	MZ22523353
MZ22529502	MZ22505703
MZ22529502	MZ22510937
MZ22515809	MZ22506290
MZ22521293	MZ22503940
MZ22521293	MZ22503707
MZ22530403	MZ22506083
MZ22530403	MZ22515465
MZ22526727	MZ22510268
MZ22526727	MZ22504128
MZ22520172	MZ22500202
MZ22525528	MZ22508817
MZ22525592	MZ22509566
MZ22525592	MZ22518820
MZ22517344	MZ22506291
MZ22517344	MZ22503031
MZ22523276	MZ22521164
MZ22528296	MZ22507375
MZ22526163	MZ22502934
MZ22525620	MZ22510778
MZ22526904	MZ22526455
MZ22528150	MZ22521092
MZ22524634	MZ22513520
MZ22524634	MZ22502440
MZ22506632	MZ22507085
MZ22500467	MZ22511047
MZ22525295	MZ22507308
MZ22527369	MZ22501535
MZ22527369	MZ22510972
MZ22525667	MZ22522243
MZ22525667	MZ22517469
MZ22526237	MZ22504138
MZ22526237	MZ22525380
MZ22522449	MZ22505777
MZ22512486	MZ22502549
MZ22513220	MZ22511907
MZ22513220	MZ22517559
MZ22523844	MZ22500926
MZ22523844	MZ22501784
MZ22527474	MZ22507567
MZ22515248	MZ22503268
MZ22515248	MZ22502482
MZ22529877	MZ22514174
MZ22529877	MZ22525803
MZ22524065	MZ22505146
MZ22524065	MZ22511432
MZ22526670	MZ22502090
MZ22526668	MZ22503815
MZ22526668	MZ22501918
MZ22523984	MZ22519221
MZ22518739	MZ22521280
MZ22518739	MZ22513219
MZ22526153	MZ22508661
MZ22526153	MZ22503671
MZ22526651	MZ22519844
MZ22530300	MZ22523761
MZ22525421	MZ22502462
MZ22525421	MZ22503266
MZ22527067	MZ22505599
MZ22515076	MZ22509319
MZ22530967	MZ22500339
MZ22530967	MZ22509182
MZ22526925	MZ22504343
MZ22526925	MZ22522786
MZ22523632	MZ22513716
MZ22523632	MZ22507460
MZ22527070	MZ22524093
MZ22526167	MZ22509144
MZ22526167	MZ22507413
MZ22529669	MZ22509905
MZ22529669	MZ22513637
MZ22523815	MZ22513637
MZ22519107	MZ22526302
MZ22519842	MZ22513359
MZ22526909	MZ22501100
MZ22529253	MZ22519117
MZ22529253	MZ22504147
MZ22525405	MZ22504147
MZ22509983	MZ22515723
MZ22526495	MZ22502697
MZ22526495	MZ22515976
MZ22525174	MZ22503322
MZ22522424	MZ22524095
MZ22522424	MZ22503748
MZ22529915	MZ22513827
MZ22529915	MZ22519770
MZ22527240	MZ22522505
MZ22527240	MZ22505459
MZ22525431	MZ22518321
MZ22525431	MZ22503597
MZ22528841	MZ22529420
MZ22529420	MZ22504303
MZ22529854	MZ22504303
MZ22524284	MZ22518725
MZ22524284	MZ22504081
MZ22517402	MZ22517390
MZ22528456	MZ22522535
MZ22522535	MZ22519660
MZ22505225	MZ22515227
MZ22505225	MZ22503285
MZ22516531	MZ22503619
MZ22516531	MZ22514190
MZ22530258	MZ22506788
MZ22530258	MZ22520332
MZ22527703	MZ22501648
MZ22518696	MZ22514930
MZ22526171	MZ22501916
MZ22526171	MZ22521614
MZ22529676	MZ22516198
MZ22529676	MZ22515182
MZ22523401	MZ22500944
MZ22528906	MZ22505600
MZ22528906	MZ22500931
MZ22526010	MZ22505102
MZ22526010	MZ22504979
MZ22526268	MZ22504940
MZ22524928	MZ22514472
MZ22530564	MZ22516503
MZ22519971	MZ22515997
MZ22530994	MZ22515507
MZ22530994	MZ22518108
MZ22527217	MZ22521950
MZ22530153	MZ22516022
MZ22517275	MZ22513872
MZ22525628	MZ22501140
MZ22530307	MZ22524907
MZ22530307	MZ22517731
MZ22526657	MZ22511646
MZ22512391	MZ22505984
MZ22512391	MZ22519589
MZ22518567	MZ22514486
MZ22526724	MZ22515923
MZ22526724	MZ22522806
MZ22528851	MZ22506808
MZ22528851	MZ22501713
MZ22530523	MZ22516404
MZ22526608	MZ22512913
MZ22526608	MZ22507500
MZ22526066	MZ22519115
MZ22526066	MZ22504398
MZ22522231	MZ22515757
MZ22526937	MZ22520008
MZ22526937	MZ22526159
MZ22526159	MZ22514224
MZ22511660	MZ22506297
MZ22511660	MZ22511277
MZ22525117	MZ22516062
MZ22525117	MZ22512017
MZ22508333	MZ22500828
MZ22523615	MZ22507486
MZ22528976	MZ22526379
MZ22525766	MZ22513594
MZ22530356	MZ22501008
MZ22530356	MZ22527241
MZ22528454	MZ22528319
MZ22505204	MZ22500169
MZ22506093	MZ22505974
MZ22512020	MZ22504193
MZ22526022	MZ22505509
MZ22526022	MZ22500817
MZ22526641	MZ22511334
MZ22512942	MZ22506069
MZ22512942	MZ22511407
MZ22527877	MZ22501324
MZ22530960	MZ22505621
MZ22530960	MZ22508812
MZ22527264	MZ22527564
MZ22525738	MZ22521633
MZ22525738	MZ22500680
MZ22530640	MZ22516908
MZ22530640	MZ22521782
MZ22518205	MZ22505445
MZ22528607	MZ22521056
MZ22522054	MZ22504480
MZ22523038	MZ22500164
MZ22523038	MZ22509375
MZ22527470	MZ22510362
MZ22527470	MZ22502658
MZ22524195	MZ22506122
MZ22528660	MZ22504058
MZ22528426	MZ22511212
MZ22528164	MZ22506143
MZ22530594	MZ22519285
MZ22514590	MZ22504016
MZ22529210	MZ22523691
MZ22529210	MZ22524464
MZ22525971	MZ22522997
MZ22526748	MZ22508081
MZ22530414	MZ22506758
MZ22507977	MZ22505478
MZ22526870	MZ22505796
MZ22526467	MZ22505796
MZ22526467	MZ22524500
MZ22527402	MZ22516685
MZ22527402	MZ22500733
MZ22514299	MZ22501221
MZ22529472	MZ22523869
MZ22513058	MZ22500049
MZ22527562	MZ22512028
MZ22515204	MZ22505801
MZ22515204	MZ22501896
MZ22527343	MZ22507906
MZ22526977	MZ22504682
MZ22526977	MZ22502085
MZ22525841	MZ22522042
MZ22525841	MZ22500648
MZ22530217	MZ22503077
MZ22530217	MZ22510165
MZ22513139	MZ22503083
MZ22513139	MZ22514088
MZ22527231	MZ22512150
MZ22527231	MZ22508885
MZ22527093	MZ22508885
MZ22527093	MZ22513158
MZ22531187	MZ22508437
MZ22531187	MZ22505552
MZ22520851	MZ22519131
MZ22529517	MZ22503779
MZ22529517	MZ22526838
MZ22527300	MZ22506695
MZ22525253	MZ22515834
MZ22529857	MZ22509659
MZ22529857	MZ22518944
MZ22529196	MZ22501058
MZ22529196	MZ22508823
MZ22513261	MZ22508182
MZ22502304	MZ22510401
MZ22526339	MZ22502291
MZ22526789	MZ22502291
MZ22530134	MZ22515663
MZ22527150	MZ22509560
MZ22527730	MZ22520496
MZ22527730	MZ22515563
MZ22527515	MZ22504845
MZ22527515	MZ22515904
MZ22525671	MZ22520919
MZ22514037	MZ22501043
MZ22514037	MZ22500536
MZ22508960	MZ22500975
MZ22508960	MZ22503251
MZ22530333	MZ22515250
MZ22530333	MZ22525868
MZ22527216	MZ22526220
MZ22527216	MZ22524805
MZ22522100	MZ22500528
MZ22529830	MZ22524960
MZ22521509	MZ22509669
MZ22530364	MZ22514063
MZ22518776	MZ22507248
MZ22531080	MZ22525400
MZ22521251	MZ22518209
MZ22529274	MZ22500086
MZ22522854	MZ22517689
MZ22527843	MZ22514182
MZ22514702	MZ22507177
MZ22528940	MZ22503531
MZ22528940	MZ22500257
MZ22516301	MZ22511836
MZ22516301	MZ22500618
MZ22527895	MZ22513751
MZ22529201	MZ22511521
MZ22529299	MZ22511521
MZ22530542	MZ22521383
MZ22509867	MZ22500238
MZ22525170	MZ22511211
MZ22518702	MZ22508903
MZ22518702	MZ22502933
MZ22529735	MZ22502306
MZ22529756	MZ22520791
MZ22529756	MZ22506660
MZ22527726	MZ22516383
MZ22525995	MZ22519349
MZ22527758	MZ22519349
MZ22526907	MZ22504876
MZ22526084	MZ22524876
MZ22530265	MZ22500364
MZ22530265	MZ22510429
MZ22527534	MZ22525192
MZ22513970	MZ22513184
MZ22526812	MZ22509586
MZ22526812	MZ22519009
MZ22529358	MZ22500453
MZ22523240	MZ22501355
MZ22521165	MZ22500683
MZ22528120	MZ22503390
MZ22527492	MZ22515893
MZ22527492	MZ22509249
MZ22529882	MZ22505851
MZ22526296	MZ22504418
MZ22529732	MZ22519740
MZ22529732	MZ22503604
MZ22530645	MZ22508463
MZ22506065	MZ22500063
MZ22523433	MZ22500063
MZ22531094	MZ22513812
MZ22513812	MZ22504965
MZ22517133	MZ22508849
MZ22526616	MZ22517133
MZ22516317	MZ22513127
MZ22513366	MZ22516765
MZ22529376	MZ22524831
MZ22531028	MZ22501420
MZ22531098	MZ22515207
MZ22526755	MZ22515207
MZ22526755	MZ22505615
MZ22515332	MZ22510635
MZ22528225	MZ22517859
MZ22513281	MZ22500876
MZ22505542	MZ22500876
MZ22530884	MZ22501823
MZ22530884	MZ22503368
MZ22530795	MZ22502280
MZ22530795	MZ22524286
MZ22525022	MZ22501331
MZ22521971	MZ22504476
MZ22521971	MZ22516655
MZ22510194	MZ22508430
MZ22530872	MZ22505334
MZ22527780	MZ22526880
MZ22530349	MZ22503249
MZ22518556	MZ22512186
MZ22519631	MZ22503949
MZ22519631	MZ22516300
MZ22510940	MZ22500385
MZ22510940	MZ22503417
MZ22517834	MZ22503224
MZ22517834	MZ22504907
MZ22522525	MZ22521531
MZ22527908	MZ22523045
MZ22508619	MZ22509536
MZ22530658	MZ22525551
MZ22530658	MZ22527773
MZ22527695	MZ22505796
MZ22516562	MZ22504240
MZ22531030	MZ22520706
MZ22521183	MZ22502433
MZ22516188	MZ22502350
MZ22516188	MZ22519063
MZ22529102	MZ22519570
MZ22516940	MZ22511150
MZ22516940	MZ22511335
MZ22531129	MZ22504342
MZ22526006	MZ22508840
MZ22528806	MZ22510973
MZ22526872	MZ22522418
MZ22522180	MZ22503306
MZ22512431	MZ22503376
MZ22526628	MZ22516162
MZ22526628	MZ22500190
MZ22517243	MZ22518204
MZ22517642	MZ22501748
MZ22517642	MZ22508210
MZ22511082	MZ22513282
MZ22531238	MZ22512197
MZ22530964	MZ22521246
MZ22527747	MZ22506793
MZ22527086	MZ22515378
MZ22529991	MZ22525304
MZ22529991	MZ22527467
MZ22522531	MZ22509592
MZ22528789	MZ22515063
MZ22520100	MZ22503815
MZ22526348	MZ22516241
MZ22531143	MZ22506858
MZ22531143	MZ22506146
MZ22527350	MZ22507406
MZ22507383	MZ22501480
MZ22526816	MZ22510134
MZ22519083	MZ22502838
MZ22513834	MZ22503164
MZ22513834	MZ22510473
MZ22529584	MZ22507123
MZ22504289	MZ22501043
MZ22530914	MZ22507613
MZ22529078	MZ22504929
MZ22529078	MZ22513234
MZ22521553	MZ22505244
MZ22512310	MZ22506675
MZ22512310	MZ22512690
MZ22519051	MZ22505165
MZ22526726	MZ22508643
MZ22529023	MZ22504436
MZ22531113	MZ22503852
MZ22531113	MZ22514043
MZ22510128	MZ22500949
MZ22530099	MZ22500471
MZ22522007	MZ22505820
MZ22529104	MZ22505430
MZ22515270	MZ22500064
MZ22530709	MZ22503479
MZ22530709	MZ22516106
MZ22523847	MZ22511344
MZ22531132	MZ22521985
MZ22531132	MZ22505915
MZ22530190	MZ22516479
MZ22530190	MZ22523051
MZ22523051	MZ22523324
MZ22526594	MZ22523324
MZ22530128	MZ22500267
MZ22527715	MZ22502795
MZ22517928	MZ22502795
MZ22530558	MZ22504084
MZ22530025	MZ22514240
MZ22527447	MZ22505089
MZ22531176	MZ22502650
MZ22524657	MZ22500138
MZ22525608	MZ22516173
MZ22531183	MZ22521904
MZ22526424	MZ22522223
MZ22526424	MZ22523306
MZ22524844	MZ22522831
MZ22527200	MZ22504754
MZ22516524	MZ22501599
MZ22511962	MZ22514192
MZ22530599	MZ22513628
MZ22524092	MZ22515771
MZ22527510	MZ22524092
MZ22527136	MZ22520788
MZ22529797	MZ22506296
MZ22531234	MZ22509794
MZ22528983	MZ22504637
MZ22530481	MZ22520131
MZ22530679	MZ22501500
MZ22530679	MZ22511229
MZ22501511	MZ22500013
MZ22526915	MZ22505854
MZ22528973	MZ22509153
MZ22527676	MZ22522951
MZ22530612	MZ22502953
MZ22509074	MZ22507694
MZ22509074	MZ22501082
MZ22509596	MZ22501082
MZ22509596	MZ22501179
MZ22521455	MZ22502259
MZ22517572	MZ22502259
MZ22531185	MZ22517572
MZ22531185	MZ22505649
MZ22530018	MZ22517984
MZ22530018	MZ22517972
MZ22510098	MZ22508459
MZ22510098	MZ22500810
MZ22527103	MZ22500599
MZ22527103	MZ22519816
MZ22529715	MZ22507730
MZ22513797	MZ22505099
MZ22525434	MZ22521632
MZ22530168	MZ22507273
MZ22530739	MZ22521136
MZ22530739	MZ22505511
MZ22530976	MZ22505511
MZ22530976	MZ22512845
MZ22529970	MZ22512420
MZ22510738	MZ22500163
MZ22510738	MZ22507638
MZ22530031	MZ22500610
MZ22530697	MZ22517643
MZ22522160	MZ22502972
MZ22531230	MZ22519670
MZ22522209	MZ22516326
MZ22512517	MZ22518289
MZ22526251	MZ22500117
MZ22522955	MZ22508640
MZ22530721	MZ22518980
MZ22530721	MZ22507334
MZ22528629	MZ22504598
MZ22531086	MZ22509766
MZ22531086	MZ22501253
MZ22516180	MZ22507223
MZ22523134	MZ22501730
MZ22523134	MZ22519782
MZ22508315	MZ22507237
MZ22529067	MZ22501040
MZ22530421	MZ22509894
MZ22530421	MZ22504282
MZ22529733	MZ22512611
MZ22531101	MZ22513457
MZ22531101	MZ22521301
MZ22509126	MZ22504474
MZ22509126	MZ22502620
MZ22530822	MZ22504435
MZ22530822	MZ22501086
MZ22529798	MZ22512102
MZ22526257	MZ22523885
MZ22526244	MZ22515138
MZ22529746	MZ22506651
MZ22529746	MZ22506201
MZ22529780	MZ22520817
MZ22529780	MZ22513309
MZ22515965	MZ22506576
MZ22503935	MZ22500374
MZ22528598	MZ22523639
MZ22528598	MZ22517246
MZ22530435	MZ22516439
MZ22529022	MZ22512039
MZ22528744	MZ22505819
MZ22520566	MZ22504182
MZ22529192	MZ22527172
MZ22529192	MZ22500475
MZ22530391	MZ22505732
MZ22522217	MZ22505732
MZ22522217	MZ22508992
MZ22529290	MZ22508743
MZ22529290	MZ22509508
MZ22523025	MZ22519157
MZ22525632	MZ22512627
MZ22527624	MZ22509448
MZ22529603	MZ22515418
MZ22504299	MZ22500244
MZ22531005	MZ22517517
MZ22530321	MZ22516255
MZ22530321	MZ22520984
MZ22529100	MZ22510765
MZ22514283	MZ22520040
MZ22514161	MZ22505199
MZ22514161	MZ22503853
MZ22529485	MZ22506439
MZ22521358	MZ22505681
MZ22521358	MZ22500404
MZ22520101	MZ22505671
MZ22520101	MZ22519283
MZ22520960	MZ22509286
MZ22526097	MZ22503353
MZ22529971	MZ22506506
MZ22529971	MZ22504422
MZ22516556	MZ22504422
MZ22527639	MZ22517166
MZ22517884	MZ22502478
MZ22521359	MZ22518213
MZ22529766	MZ22519058
MZ22524881	MZ22521782
MZ22526218	MZ22510751
MZ22530492	MZ22502858
MZ22530492	MZ22512538
MZ22521548	MZ22512538
MZ22529063	MZ22503239
MZ22530223	MZ22503058
MZ22531191	MZ22501690
MZ22531191	MZ22514524
MZ22519873	MZ22502532
MZ22530624	MZ22525962
MZ22505276	MZ22500048
MZ22505113	MZ22505276
MZ22505113	MZ22500048
MZ22531017	MZ22513620
MZ22510974	MZ22502149
MZ22507360	MZ22510974
MZ22528924	MZ22513999
MZ22528924	MZ22501897
MZ22508266	MZ22501897
MZ22508266	MZ22517741
MZ22508756	MZ22517741
MZ22509959	MZ22508211
MZ22507386	MZ22510700
MZ22529094	MZ22511393
MZ22529094	MZ22504879
MZ22530184	MZ22513174
MZ22531148	MZ22517966
MZ22523360	MZ22509273
MZ22523360	MZ22514391
MZ22515689	MZ22501066
MZ22511782	MZ22501461
MZ22530660	MZ22501461
MZ22530660	MZ22518266
MZ22518266	MZ22501766
MZ22526944	MZ22520145
MZ22530989	MZ22524056
MZ22528992	MZ22516515
MZ22528992	MZ22510320
MZ22526621	MZ22508860
MZ22518320	MZ22502581
MZ22518320	MZ22517298
MZ22530948	MZ22523147
MZ22529998	MZ22518871
MZ22529998	MZ22524439
MZ22523320	MZ22507129
MZ22528355	MZ22523033
MZ22527929	MZ22513044
MZ22530733	MZ22506815
MZ22528432	MZ22504647
MZ22528432	MZ22506628
MZ22528606	MZ22506628
MZ22528606	MZ22505011
MZ22516010	MZ22502698
MZ22528317	MZ22503174
MZ22530367	MZ22510303
MZ22514028	MZ22505198
MZ22526642	MZ22503229
MZ22526642	MZ22522861
MZ22530368	MZ22503141
MZ22530368	MZ22504415
MZ22527853	MZ22526455
MZ22527853	MZ22503871
MZ22529427	MZ22503756
MZ22529902	MZ22504025
MZ22529902	MZ22502601
MZ22529837	MZ22502205
MZ22530796	MZ22502205
MZ22530796	MZ22500369
MZ22500756	MZ22509383
MZ22530560	MZ22505937
MZ22521733	MZ22520164
MZ22522414	MZ22517465
MZ22522414	MZ22518875
MZ22527230	MZ22502386
MZ22527230	MZ22508407
MZ22506130	MZ22522539
MZ22525797	MZ22508286
MZ22519054	MZ22502118
MZ22530047	MZ22506091
MZ22530219	MZ22507228
MZ22530219	MZ22505676
MZ22525518	MZ22510964
MZ22531116	MZ22514088
MZ22531116	MZ22503083
MZ22516412	MZ22515524
MZ22515524	MZ22505844
MZ22529776	MZ22503281
MZ22527542	MZ22523350
MZ22529212	MZ22510595
MZ22526739	MZ22501042
MZ22503302	MZ22500742
MZ22503302	MZ22516390
MZ22531112	MZ22520823
MZ22516880	MZ22504137
MZ22507335	MZ22501385
MZ22507063	MZ22506892
MZ22506892	MZ22500144
MZ22507242	MZ22500144
MZ22528444	MZ22517450
MZ22517342	MZ22518974
MZ22518070	MZ22508805
MZ22518070	MZ22516583
MZ22528488	MZ22500767
MZ22528488	MZ22502670
MZ22530891	MZ22523001
MZ22530891	MZ22526822
MZ22530957	MZ22502505
MZ22513198	MZ22504105
MZ22527957	MZ22501449
MZ22527957	MZ22503839
MZ22517798	MZ22508665
MZ22528920	MZ22509756
MZ22528920	MZ22519849
MZ22523052	MZ22523304
MZ22525125	MZ22519315
MZ22530674	MZ22507373
MZ22509687	MZ22501044
MZ22522729	MZ22501411
MZ22512699	MZ22507573
MZ22512780	MZ22505767
MZ22512780	MZ22525373
MZ22526794	MZ22508005
MZ22510306	MZ22509848
MZ22510306	MZ22523070
MZ22508514	MZ22523070
MZ22508514	MZ22522719
MZ22503346	MZ22504532
MZ22503346	MZ22500154
MZ22516350	MZ22521179
MZ22516350	MZ22503251
MZ22515656	MZ22504493
MZ22527247	MZ22505209
MZ22529374	MZ22504087
MZ22529374	MZ22508513
MZ22503961	MZ22512965
MZ22526875	MZ22509658
MZ22514760	MZ22501513
MZ22508705	MZ22500461
MZ22530901	MZ22513096
MZ22530901	MZ22502187
MZ22530718	MZ22500710
MZ22530718	MZ22503392
MZ22513306	MZ22501365
MZ22525111	MZ22523030
MZ22527898	MZ22523030
MZ22520574	MZ22503163
MZ22531009	MZ22521867
MZ22531009	MZ22522992
MZ22519988	MZ22510573
MZ22529170	MZ22522753
MZ22530413	MZ22507689
MZ22530413	MZ22506965
MZ22526425	MZ22511401
MZ22520448	MZ22521760
MZ22529092	MZ22504793
MZ22529092	MZ22515438
MZ22527753	MZ22510649
MZ22527753	MZ22504722
MZ22531008	MZ22505081
MZ22531008	MZ22506181
MZ22518258	MZ22519544
MZ22530682	MZ22512664
MZ22530682	MZ22500173
MZ22530070	MZ22518474
MZ22514094	MZ22504052
MZ22527524	MZ22508660
MZ22523093	MZ22500278
MZ22521852	MZ22510939
MZ22530091	MZ22502538
MZ22531022	MZ22504833
MZ22531015	MZ22516009
MZ22530420	MZ22503993
MZ22529543	MZ22521524
MZ22530592	MZ22503391
MZ22521669	MZ22505109
MZ22521669	MZ22505673
MZ22527038	MZ22523010
MZ22528138	MZ22517743
MZ22517204	MZ22516876
MZ22522207	MZ22512497
MZ22522207	MZ22518752
MZ22530650	MZ22522931
MZ22509664	MZ22503124
MZ22509664	MZ22505507
MZ22520603	MZ22506376
MZ22520603	MZ22522171
MZ22530953	MZ22522171
MZ22530953	MZ22505186
MZ22523653	MZ22522588
MZ22506887	MZ22501357
MZ22526487	MZ22512400
MZ22512392	MZ22510265
MZ22512392	MZ22507912
MZ22529280	MZ22502991
MZ22529280	MZ22505875
MZ22529844	MZ22501341
MZ22529844	MZ22514807
MZ22530977	MZ22504777
MZ22530977	MZ22500470
MZ22530790	MZ22500470
MZ22527041	MZ22509551
MZ22530808	MZ22509973
MZ22526547	MZ22504254
MZ22530189	MZ22515239
MZ22528537	MZ22510169
MZ22528537	MZ22527021
MZ22525294	MZ22518244
MZ22531069	MZ22515399
MZ22530441	MZ22516943
MZ22530441	MZ22518208
MZ22530870	MZ22520719
MZ22529082	MZ22509701
MZ22521467	MZ22519064
MZ22528599	MZ22510745
MZ22524714	MZ22510691
MZ22529608	MZ22509440
MZ22525310	MZ22500118
MZ22525305	MZ22508859
MZ22529442	MZ22511156
MZ22529442	MZ22519053
MZ22511278	MZ22510493
MZ22516687	MZ22500665
MZ22516145	MZ22500665
MZ22525854	MZ22500978
MZ22529923	MZ22524251
MZ22529923	MZ22522305
MZ22528848	MZ22504401
MZ22529724	MZ22500573
MZ22529724	MZ22503728
MZ22528747	MZ22500529
MZ22506081	MZ22503151
MZ22525388	MZ22523414
MZ22522825	MZ22511404
MZ22527579	MZ22504582
MZ22506720	MZ22500086
MZ22528322	MZ22505133
MZ22528322	MZ22513163
MZ22530143	MZ22522426
MZ22530143	MZ22515253
MZ22523299	MZ22514723
MZ22526141	MZ22509977
MZ22527538	MZ22506961
MZ22526731	MZ22507080
MZ22530765	MZ22526731
MZ22530765	MZ22523997
MZ22527245	MZ22524535
MZ22525644	MZ22500959
MZ22516599	MZ22504079
MZ22524654	MZ22522834
MZ22529788	MZ22505782
MZ22529788	MZ22510151
MZ22526269	MZ22504001
MZ22529802	MZ22500908
MZ22517718	MZ22506911
MZ22524123	MZ22509246
MZ22529789	MZ22508746
MZ22525422	MZ22500982
MZ22525422	MZ22502963
MZ22528278	MZ22500563
MZ22528278	MZ22502190
MZ22524267	MZ22513876
MZ22530588	MZ22512860
MZ22527481	MZ22501799
MZ22527481	MZ22515324
MZ22521678	MZ22511284
MZ22523039	MZ22518657
MZ22530520	MZ22515570
MZ22506540	MZ22501297
MZ22528749	MZ22512159
MZ22513537	MZ22505432
MZ22530863	MZ22516821
MZ22531173	MZ22511236
MZ22526886	MZ22502475
MZ22517102	MZ22503418
MZ22530998	MZ22520573
MZ22530998	MZ22509921
MZ22526318	MZ22511799
MZ22530636	MZ22507502
MZ22530636	MZ22506267
MZ22531249	MZ22506301
MZ22514898	MZ22504530
MZ22521539	MZ22520544
MZ22520843	MZ22515536
MZ22526895	MZ22506449
MZ22526996	MZ22506449
MZ22524051	MZ22506449
MZ22509818	MZ22500310
MZ22530793	MZ22516537
MZ22530793	MZ22512340
MZ22528779	MZ22512340
MZ22527429	MZ22502098
MZ22525186	MZ22502151
MZ22526922	MZ22509741
MZ22529265	MZ22518225
MZ22519775	MZ22511274
MZ22519775	MZ22511178
MZ22527856	MZ22512253
MZ22530717	MZ22523931
MZ22522847	MZ22504540
MZ22522847	MZ22521984
MZ22525600	MZ22503315
MZ22528064	MZ22521745
MZ22526389	MZ22514408
MZ22531041	MZ22513340
MZ22531041	MZ22502333
MZ22530288	MZ22519290
MZ22501810	MZ22500325
MZ22501758	MZ22522459
MZ22501758	MZ22500102
MZ22515206	MZ22517058
MZ22529811	MZ22503584
MZ22530422	MZ22506943
MZ22522354	MZ22501633
MZ22522354	MZ22517260
MZ22516230	MZ22506207
MZ22530178	MZ22517585
MZ22530178	MZ22519416
MZ22524394	MZ22525259
MZ22530941	MZ22524394
MZ22530941	MZ22518507
MZ22529878	MZ22519060
MZ22526145	MZ22512914
MZ22528242	MZ22511308
MZ22528242	MZ22519908
MZ22521976	MZ22507657
MZ22510119	MZ22512093
MZ22527108	MZ22502055
MZ22527108	MZ22517469
MZ22509704	MZ22503848
MZ22527337	MZ22524011
MZ22527337	MZ22522247
MZ22528678	MZ22512130
MZ22529931	MZ22512130
MZ22529931	MZ22505229
MZ22526505	MZ22502117
MZ22529141	MZ22506427
MZ22518997	MZ22513805
MZ22527065	MZ22513805
MZ22527065	MZ22511931
MZ22523113	MZ22516936
MZ22518472	MZ22500570
MZ22530685	MZ22519973
MZ22530685	MZ22517990
MZ22529555	MZ22507508
MZ22530449	MZ22500817
MZ22529038	MZ22524141
MZ22528508	MZ22527300
MZ22528508	MZ22512523
MZ22530935	MZ22512498
MZ22526590	MZ22517399
MZ22526590	MZ22521233
MZ22530850	MZ22514651
MZ22530850	MZ22503428
MZ22524916	MZ22518329
MZ22510369	MZ22503337
MZ22516579	MZ22502270
MZ22513411	MZ22502270
MZ22529994	MZ22507688
MZ22513317	MZ22503330
MZ22513317	MZ22516269
MZ22530451	MZ22511941
MZ22518949	MZ22509202
MZ22529168	MZ22500134
MZ22529362	MZ22504302
MZ22522592	MZ22502869
MZ22531178	MZ22520273
MZ22520737	MZ22518797
MZ22529542	MZ22503165
MZ22530505	MZ22500205
